origin_airport,destination_airport,distance_km,is_less_than_200_km
MMX,BSL,883.4191007784843,False
MMX,BGY,1096.7059020138602,False
MMX,YSC,1194.8412652255515,False
MMX,PSA,1317.8898470546906,False
MMX,BIQ,1344.4164980157907,False
MMX,INI,1357.142583190888,False
MMX,SCQ,1404.8246266907577,False
MMX,VLL,1538.059008075664,False
MMX,FSC,1559.8851374080348,False
MMX,KRW,1745.6208233136038,False
MMX,TPS,1958.2935898085072,False
MMX,PDL,1979.1999334299767,False
MMX,RHO,2129.878596501913,False
MMX,CHQ,2224.150648465186,False
MMX,AGO,2550.2550483731184,False
MMX,BQK,2747.5945045750505,False
MMX,SOK,2858.1076626491326,False
MMX,CLC,2959.882707291053,False
MMX,SPC,2988.6646830145014,False
MMX,UDR,3468.2254808397247,False
MMX,SNJ,3760.178300398468,False
MMX,BBR,4402.983123329936,False
MMX,AHE,4705.948146821002,False
MMX,HUU,5096.805051528102,False
MMX,JIM,5314.365038089073,False
MMX,AIH,5459.866792397989,False
MMX,KSB,5583.256107046498,False
MMX,TYL,5682.596764827779,False
MMX,NDE,5726.246909243022,False
BFS,LLA,1215.6142900584173,False
BFS,PVS,1422.6837738426293,False
BFS,MCG,1257.0548353740057,False
BFS,TLL,540.3827834997917,False
BFS,VBY,345.3249238833196,False
BFS,AAL,273.8917364050758,False
BFS,MMX,102.71662215512401,True
BFS,BLK,103.79992317666778,True
BFS,MAN,150.99135362322033,True
BFS,IEG,308.09781561584987,False
BFS,LCJ,341.61876207963655,False
BFS,PAD,339.07346079408035,False
BFS,OST,386.4779585428519,False
BFS,DRS,393.5114120596046,False
BFS,YBH,923.7837606608202,False
BFS,YQN,736.2000863784408,False
BFS,BTS,726.1983249862233,False
BFS,FDH,778.0752822258951,False
BFS,BSL,785.9158140866293,False
BFS,BGY,1000.1105131546194,False
BFS,YSC,1119.2408253292117,False
BFS,PSA,1220.0638210920904,False
BFS,BIQ,1245.1048923442368,False
BFS,INI,1261.9733410969593,False
BFS,SCQ,1307.6835622847068,False
BFS,VLL,1439.7847565255952,False
BFS,FSC,1462.9848213299288,False
BFS,KRW,1657.5519714266168,False
BFS,TPS,1861.123299932433,False
BFS,PDL,1884.593707344435,False
BFS,RHO,2035.9061442763718,False
BFS,CHQ,2128.9451980668146,False
BFS,AGO,2468.078452728037,False
BFS,BQK,2661.6151713905233,False
BFS,SOK,2763.4824169188046,False
BFS,CLC,2876.470683827924,False
BFS,SPC,2892.465779363796,False
BFS,UDR,3379.171198420979,False
BFS,SNJ,3672.2836861660717,False
BFS,BBR,4310.807244094673,False
BFS,AHE,4625.8683254285415,False
BFS,HUU,5006.084174442519,False
BFS,JIM,5219.39954660115,False
BFS,AIH,5376.544381540454,False
BFS,KSB,5501.028022222153,False
BFS,TYL,5591.522603184367,False
BFS,NDE,5631.300358747433,False
BLK,LLA,1315.5299552490276,False
BLK,PVS,1523.364132373531,False
BLK,MCG,1356.445895340522,False
BLK,TLL,643.1642515374859,False
BLK,VBY,448.7082777874465,False
BLK,AAL,376.00189724719905,False
BLK,MMX,206.51046513081064,False
BLK,BFS,103.79992317666778,True
BLK,MAN,47.48317688467908,True
BLK,IEG,224.7332181208161,False
BLK,LCJ,266.3722083695576,False
BLK,PAD,247.56737063536542,False
BLK,OST,286.28649017781976,False
BLK,DRS,302.6037405809366,False
BLK,YBH,924.9081514584337,False
BLK,YQN,708.2632916012757,False
BLK,BTS,634.6682246752064,False
BLK,FDH,683.0850999425134,False
BLK,BSL,689.5345533030454,False
BLK,BGY,904.4955450315158,False
BLK,YSC,1048.6888043718905,False
BLK,PSA,1122.6431048673703,False
BLK,BIQ,1145.8192766274983,False
BLK,INI,1167.7658145123526,False
BLK,SCQ,1211.030469225323,False
BLK,VLL,1341.663919077001,False
BLK,FSC,1366.5056636173672,False
BLK,KRW,1571.217270775538,False
BLK,TPS,1764.117562589229,False
BLK,PDL,1790.5499694413595,False
BLK,RHO,1942.5100335398413,False
BLK,CHQ,2034.0994598847467,False
BLK,AGO,2387.580092354205,False
BLK,BQK,2576.822195991313,False
BLK,SOK,2669.0894761233785,False
BLK,CLC,2794.371818241578,False
BLK,SPC,2796.286642537513,False
BLK,UDR,3290.7414554244224,False
BLK,SNJ,3585.032209996455,False
BLK,BBR,4218.808276048382,False
BLK,AHE,4546.7268153520845,False
BLK,HUU,4915.556025115482,False
BLK,JIM,5124.295641281616,False
BLK,AIH,5293.819231414238,False
BLK,KSB,5419.435891156593,False
BLK,TYL,5500.551482579518,False
BLK,NDE,5536.186477415969,False
MAN,LLA,1362.627270930864,False
MAN,PVS,1567.7033790387545,False
MAN,MCG,1400.0222658198054,False
MAN,TLL,690.6467850726644,False
MAN,VBY,496.1259086969207,False
MAN,AAL,423.4765738863634,False
MAN,MMX,253.68628259477478,False
MAN,BFS,150.99135362322033,True
MAN,BLK,47.48317688467908,True
MAN,IEG,188.49970060685212,True
MAN,LCJ,233.9563247459082,False
MAN,PAD,205.82539117521623,False
MAN,OST,239.66518116252416,False
MAN,DRS,260.5997893571893,False
MAN,YBH,922.9249338563799,False
MAN,YQN,694.0183227377814,False
MAN,BTS,591.1117095635769,False
MAN,FDH,638.0388181311646,False
MAN,BSL,643.9424279844509,False
MAN,BGY,859.0666023123175,False
MAN,YSC,1013.631573756379,False
MAN,PSA,1076.5097778153954,False
MAN,BIQ,1099.0915311215665,False
MAN,INI,1122.752927387929,False
MAN,SCQ,1165.1375997119826,False
MAN,VLL,1295.2679831160544,False
MAN,FSC,1320.6426157449525,False
MAN,KRW,1529.0843085078477,False
MAN,TPS,1718.0316008976965,False
MAN,PDL,1745.462844401782,False
MAN,RHO,1897.6312197344187,False
MAN,CHQ,1988.7058078762138,False
MAN,AGO,2347.53944236972,False
MAN,BQK,2535.060575040716,False
MAN,SOK,2623.800937750711,False
MAN,CLC,2753.6264687010507,False
MAN,SPC,2750.4021850090794,False
MAN,UDR,3247.530872708323,False
MAN,SNJ,3542.23710501526,False
MAN,BBR,4174.270762812243,False
MAN,AHE,4506.96381761542,False
MAN,HUU,4871.5109655083725,False
MAN,JIM,5078.69472744837,False
MAN,AIH,5252.632218527622,False
MAN,KSB,5378.675300413284,False
MAN,TYL,5456.334679986184,False
